id,fund_name,code,price,price_change,percent_change,date
1,Epoch_European_Equity_Fund_-_I,TDB649,23.39,-0.27,-1.14,"2016-01-02 00:52:49"
15,Epoch_European_Equity_Fund_-_I,TDB649,23.39,-0.27,-1.14,"2016-01-03 22:41:24"
16,Epoch_Global_Equity_Fund_-_I,TDB641,21.37,-0.18,-0.84,"2016-01-03 22:41:24"
2,Epoch_Global_Equity_Fund_-_I,TDB641,21.37,-0.18,-0.84,"2016-01-02 00:52:49"
3,Epoch_Global_Shareholder_Yield_Fund_-_I,TDB231,11.12,-0.11,-0.98,"2016-01-02 00:52:49"
17,Epoch_Global_Shareholder_Yield_Fund_-_I,TDB231,11.12,-0.11,-0.98,"2016-01-03 22:41:25"
18,Epoch_U.S._Large-Cap_Value_Fund_(US$)_-_I,TDB2050,12.92,-0.11,-0.84,"2016-01-03 22:41:26"
1,Epoch_U.S._Large-Cap_Value_Fund_(US$)_-_I,TDB2050,12.92,-0.11,-0.84,"2016-01-02 00:52:50"
19,Epoch_U.S._Large-Cap_Value_Fund_-_I,TDB678,17.95,-0.15,-0.83,"2016-01-03 22:41:26"
2,Epoch_U.S._Large-Cap_Value_Fund_-_I,TDB678,17.95,-0.15,-0.83,"2016-01-02 00:52:50"
18,TD_Asian_Growth_Fund_-_I,TDB642,17.54,0,0,"2016-01-03 22:41:25"
4,TD_Asian_Growth_Fund_-_I,TDB642,17.54,0,0,"2016-01-02 00:52:49"
1,TD_Balanced_Growth_Fund_-_I,TDB970,24.33,-0.14,-0.57,"2016-01-02 00:00:00"
8,TD_Balanced_Growth_Fund_-_I,TDB970,24.33,-0.14,-0.57,"2016-01-03 00:00:00"
2,TD_Balanced_Income_Fund_-_I,TDB160,14.2,-0.07,-0.49,"2016-01-02 00:00:00"
9,TD_Balanced_Income_Fund_-_I,TDB160,14.2,-0.07,-0.49,"2016-01-03 00:00:00"
3,TD_Balanced_Index_Fund_-_I,TDB965,13.65,-0.07,-0.51,"2016-01-02 00:00:00"
